year,state,district,proportion_black,black_candidate,black_turnout
2008,IA,0,2.1307884,0,77.3648009
2008,IA,1,3.6913766,0,71.59438
2008,IA,2,2.2354593,0,79.4869275
2008,IA,3,2.9715858,0,82.9031079
2008,IL,0,14.9080166,0,64.2765897
2008,IL,1,63.3672101,1,70.332158
2008,IL,2,70.0420095,1,74.2119849
2008,IL,3,7.0547528,0,58.6818334
2008,IL,4,8.031982,0,29.6647199
2008,IL,5,3.7106986,0,30.1086133
2008,IL,6,3.1247554,0,44.1180935
2008,IL,7,53.5365084,1,65.7389907
2008,IL,8,4.2688736,0,47.8757691
2008,IL,9,10.8027855,0,52.9729027
2008,IL,10,4.9917572,1,47.3994158
2008,IL,11,8.0554967,0,57.5085523
2008,IL,12,15.9616147,0,67.5613949
2008,IL,13,6.2855099,0,56.9863347
2008,IL,14,5.3903866,0,42.3819243
2008,IL,15,6.2552875,0,48.9746493
2008,IL,16,5.5795599,0,55.0001785
2008,IL,17,6.6913287,0,56.6277015
2008,IL,18,6.7591489,0,49.5148494
2008,IL,19,3.4278793,0,42.3425995
2008,IN,1,17.6568481,0,65.6074682
2008,IN,2,8.031775,0,52.2533775
2008,IN,3,5.2882005,0,57.7065767
2008,IN,4,2.552976,0,55.2202054
2008,IN,5,3.5274639,0,50.9657726
2008,IN,6,3.4265967,0,53.8541426
2008,IN,7,30.88385,1,75.6150391
2008,IN,8,4.0541624,0,41.5925036
2008,IN,9,2.4781146,0,45.3333333
2008,KS,0,5.3379706,0,62.319543
2008,KS,1,2.2336971,0,42.6877854
2008,KS,2,4.4940478,0,51.3708638
2008,KS,3,8.2004647,0,72.3708412
2008,KS,4,6.3956634,1,58.6508413
2008,KY,0,7.0837579,0,61.6274647
2008,KY,1,6.5273914,0,57.9799058
2008,KY,2,5.739543,0,54.749992
2008,KY,3,19.3161285,0,66.6054597
2008,KY,4,2.6184184,0,41.2553191
2008,KY,5,1.2092623,0,62.0534277
2008,KY,6,8.1783922,0,59.5091074
2008,LA,0,30.2208735,0,60.7897934
2008,LA,1,14.4061511,0,48.1268865
2008,LA,2,57.1476935,1,70.04238
2008,LA,4,32.4886841,0,54.3848317
2008,LA,6,33.459674,0,59.7023192
2008,LA,7,24.0593719,1,62.6710014
2008,MA,0,5.0251912,0,57.4917874
2008,MA,1,1.6655579,0,43.1213018
2008,MA,2,5.3061376,0,50.8629717
2008,MA,3,2.7874557,0,38.8016429
2008,MA,4,2.5930306,0,35.4104301
2008,MA,5,1.9120641,0,38.4496676
2008,MA,6,2.057404,0,42.9048066
2008,MA,7,4.0086084,0,50.6205425
2008,MA,8,19.8185568,0,67.9391373
2008,MA,9,9.632668,0,65.2419041
2008,MA,10,1.8638248,0,38.1009484
2008,MD,1,11.034007,0,59.9324864
2008,MD,2,30.3254797,0,72.8904683
2008,MD,3,19.1881255,1,72.856981
2008,MD,4,58.3007532,1,79.0635349
2008,MD,5,35.4092634,0,86.0764206
2008,MD,6,6.3584517,0,44.9884192
2008,MD,7,56.4653637,1,62.182987
2008,MD,8,17.0351871,0,67.9518564
2008,ME,0,0.5083851,0,90.4825737
2008,MI,0,13.3212682,0,81.1796706
2008,MI,1,1.3957547,0,22.7197117
2008,MI,2,4.3538048,1,70.8582563
2008,MI,3,7.1320173,0,81.4708746
2008,MI,4,2.426853,0,49.6591176
2008,MI,5,16.1155323,0,89.5588486
2008,MI,6,7.5404098,0,74.1562842
2008,MI,7,5.711005,0,58.0371665
2008,MI,8,4.0437868,0,92.6236539
2008,MI,9,9.3392486,0,97.7068032
2008,MI,10,2.4989677,0,70.3641371
2008,MI,11,8.2177018,0,93.2725934
2008,MI,13,63.3031408,1,69.9806809
2008,MI,14,61.4928833,1,75.6724231
2008,MI,15,11.4850939,0,93.1701208
2008,MN,0,3.2330055,0,72.8107717
2008,MN,1,1.0042676,0,67.6254461
2008,MN,2,2.2401734,0,57.0118995
2008,MN,3,4.7960016,0,69.8632005
2008,MN,4,5.9546428,0,78.3320981
2008,MN,5,10.7640168,1,78.3681835
2008,MN,6,1.3354018,0,59.0337894
2008,MO,1,52.229184,1,76.0129752
2008,MO,2,2.8660059,0,39.9059409
2008,MO,3,7.6700979,0,73.2074038
2008,MO,4,3.2451966,0,42.0433664
2008,MO,5,22.7436488,1,82.4128671
2008,MO,6,2.8825158,0,60.2168245
2008,MO,7,1.4444192,0,49.8490219
2008,MO,8,4.4265753,0,58.0142169
2008,MO,9,3.7209055,0,45.2662252
2008,MS,1,25.3208759,0,67.7917867
2008,MS,2,63.564803,1,60.6158939
2008,MS,3,33.0473252,0,62.7945796
2008,MS,4,21.8104869,0,57.248517
2008,NC,0,21.302195,0,71.9554904
2008,NC,1,48.6721076,1,67.355827
2008,NC,2,30.3005758,0,66.1985893
2008,NC,3,16.733486,0,65.0536234
2008,NC,4,20.1765872,0,82.4216577
